y,black,female,age,state,age_edu,region_full,edu,v_prev_full
0,0,0,4,10,16,3,4,0.5696666
1,0,1,2,16,8,2,4,0.5226667
0,0,0,2,50,6,2,2,0.521
0,0,1,3,44,10,3,2,0.5613334
1,0,0,3,15,12,2,4,0.5863333
1,0,0,1,10,1,3,1,0.5696666
1,0,1,1,24,2,2,2,0.4713334
1,0,1,2,18,8,3,4,0.5243334
1,0,0,3,16,10,2,2,0.5226667
1,0,0,2,16,8,2,4,0.5226667
0,0,1,3,36,10,2,2,0.5493333
0,1,1,1,43,3,3,3,0.5063334
1,0,1,2,18,7,3,3,0.5243334
0,0,1,1,48,3,4,3,0.5523333
0,0,1,1,17,3,2,3,0.6146666
1,0,1,3,50,10,2,2,0.521
0,0,0,2,36,8,2,4,0.5493333
1,0,1,2,43,5,3,1,0.5063334
0,0,1,4,43,16,3,4,0.5063334
1,0,0,4,10,15,3,3,0.5696666
0,1,0,3,36,11,2,3,0.5493333
0,0,1,3,32,9,4,1,0.5713333
0,0,1,1,36,2,2,2,0.5493333
0,0,0,3,28,11,2,3,0.6773334
1,0,1,2,21,8,1,4,0.494
1,0,1,3,43,12,3,4,0.5063334
0,0,0,2,34,6,3,2,0.525
1,1,0,1,3,2,4,2,0.6463333
1,0,0,1,23,2,2,2,0.5546667
1,0,0,2,15,8,2,4,0.5863333
1,0,0,2,45,5,4,1,0.727
1,0,1,3,1,11,3,3,0.5173333
1,0,1,1,27,2,4,2,0.596
1,0,1,1,47,3,3,3,0.567
0,1,1,1,19,3,3,3,0.538
0,0,1,3,28,10,2,2,0.6773334
0,0,0,2,36,6,2,2,0.5493333
1,0,1,3,5,12,4,4,0.562
1,0,0,3,14,12,2,4,0.5336667
0,1,0,1,5,4,4,4,0.562
1,0,1,2,36,8,2,4,0.5493333
1,0,0,1,14,3,2,3,0.5336667
0,0,1,3,47,9,3,1,0.567
0,0,1,1,23,3,2,3,0.5546667
0,0,0,2,5,7,4,3,0.562
0,0,0,4,21,14,1,2,0.494
1,0,0,3,1,10,3,2,0.5173333
1,0,1,3,23,10,2,2,0.5546667
0,0,0,1,6,3,4,3,0.613
1,0,1,2,45,6,4,2,0.727
0,0,0,1,44,2,3,2,0.5613334
1,0,1,1,3,2,4,2,0.6463333
1,0,1,1,13,3,4,3,0.6916667
1,0,1,4,36,14,2,2,0.5493333
0,0,1,1,50,4,2,4,0.521
0,0,1,2,1,6,3,2,0.5173333
0,0,0,1,21,4,1,4,0.494
0,0,1,2,5,8,4,4,0.562
1,0,0,2,5,8,4,4,0.562
1,0,0,2,10,8,3,4,0.5696666
1,0,0,1,10,3,3,3,0.5696666
0,0,1,4,5,14,4,2,0.562
0,0,1,1,10,4,3,4,0.5696666
0,0,1,3,35,9,2,1,0.6323333
1,0,1,3,14,12,2,4,0.5336667
1,0,0,2,48,6,4,2,0.5523333
1,0,0,2,23,6,2,2,0.5546667
1,0,1,4,3,14,4,2,0.6463333
1,0,1,1,23,2,2,2,0.5546667
0,1,1,3,10,11,3,3,0.5696666
1,0,1,3,21,12,1,4,0.494
0,1,1,4,32,14,4,2,0.5713333
1,0,0,1,5,4,4,4,0.562
1,0,1,2,23,8,2,4,0.5546667
1,0,0,2,43,7,3,3,0.5063334
0,0,1,3,18,12,3,4,0.5243334
0,0,1,2,48,8,4,4,0.5523333
0,0,0,2,8,8,1,4,0.5283334
0,0,0,3,48,12,4,4,0.5523333
1,0,0,3,23,10,2,2,0.5546667
1,0,0,1,21,3,1,3,0.494
0,0,0,2,5,7,4,3,0.562
1,0,0,2,15,6,2,2,0.5863333
1,0,1,2,5,7,4,3,0.562
1,0,1,3,1,11,3,3,0.5173333
1,0,0,2,44,6,3,2,0.5613334
1,0,1,3,6,11,4,3,0.613
1,0,1,1,5,2,4,2,0.562
0,0,0,1,24,4,2,4,0.4713334
1,0,0,2,17,8,2,4,0.6146666
1,0,1,2,5,7,4,3,0.562
0,0,1,2,6,8,4,4,0.613
1,0,1,3,25,10,3,2,0.5403333
1,0,1,2,5,7,4,3,0.562
0,0,0,3,51,9,4,1,0.6676667
0,0,1,2,16,7,2,3,0.5226667
1,0,0,4,25,13,3,1,0.5403333
1,0,0,2,49,5,1,1,0.4836667
1,0,1,3,19,11,3,3,0.538
0,0,1,2,5,7,4,3,0.562
0,0,1,1,5,1,4,1,0.562
1,0,0,1,48,2,4,2,0.5523333
1,0,0,1,21,2,1,2,0.494
0,0,0,4,10,14,3,2,0.5696666
0,0,1,4,18,13,3,1,0.5243334
0,0,1,2,21,8,1,4,0.494
0,0,1,1,47,4,3,4,0.567
0,0,0,2,14,6,2,2,0.5336667
0,1,0,2,36,6,2,2,0.5493333
0,0,1,4,41,14,3,2,0.5253333
1,1,0,3,33,10,1,2,0.511
1,0,0,2,5,8,4,4,0.562
1,0,0,3,16,11,2,3,0.5226667
1,0,1,1,10,2,3,2,0.5696666
1,1,0,2,11,6,3,2,0.4513333
1,0,0,4,36,14,2,2,0.5493333
0,0,1,3,33,12,1,4,0.511
1,0,1,2,39,6,1,2,0.5213333
1,0,1,1,1,2,3,2,0.5173333
1,0,1,3,36,9,2,1,0.5493333
1,0,1,3,22,10,1,2,0.478
1,0,1,2,31,6,1,2,0.5633333
1,0,0,2,33,7,1,3,0.511
0,0,1,1,44,2,3,2,0.5613334
1,0,1,2,14,6,2,2,0.5336667
1,0,1,2,44,7,3,3,0.5613334
1,0,1,3,3,11,4,3,0.6463333
0,1,1,3,39,11,1,3,0.5213333
0,0,0,3,36,12,2,4,0.5493333
0,0,0,1,7,2,1,2,0.564
1,0,1,4,39,15,1,3,0.5213333
1,0,1,2,31,6,1,2,0.5633333
1,0,0,2,7,6,1,2,0.564
1,0,0,3,10,10,3,2,0.5696666
0,0,0,4,49,14,1,2,0.4836667
0,0,0,3,22,11,1,3,0.478
1,0,0,2,33,6,1,2,0.511
1,0,0,2,39,6,1,2,0.5213333
1,0,0,3,22,11,1,3,0.478
0,0,0,3,7,12,1,4,0.564
0,0,1,2,33,8,1,4,0.511
0,0,0,2,16,7,2,3,0.5226667
1,0,1,3,5,11,4,3,0.562
1,0,0,1,33,4,1,4,0.511
1,0,0,1,39,4,1,4,0.5213333
1,0,0,1,44,4,3,4,0.5613334
0,0,1,2,33,8,1,4,0.511
1,0,1,1,10,2,3,2,0.5696666
1,0,0,3,33,10,1,2,0.511
1,0,1,3,43,12,3,4,0.5063334
1,0,1,4,23,14,2,2,0.5546667
0,0,1,2,39,7,1,3,0.5213333
0,0,0,1,33,1,1,1,0.511
0,0,0,1,39,3,1,3,0.5213333
1,0,0,1,20,4,1,4,0.5446666
0,0,0,3,33,12,1,4,0.511
0,0,1,3,50,12,2,4,0.521
0,0,0,1,39,2,1,2,0.5213333
0,0,0,3,33,10,1,2,0.511
0,0,0,2,7,6,1,2,0.564
1,0,1,1,34,2,3,2,0.525
1,0,1,2,33,8,1,4,0.511
0,0,0,1,22,2,1,2,0.478
1,0,1,2,4,6,3,2,0.4883333
1,0,1,3,39,10,1,2,0.5213333
1,0,1,4,36,14,2,2,0.5493333
1,0,1,3,31,12,1,4,0.5633333
1,0,1,3,17,10,2,2,0.6146666
0,0,1,3,19,11,3,3,0.538
0,0,1,4,23,16,2,4,0.5546667
1,0,0,3,23,11,2,3,0.5546667
0,0,0,1,38,4,4,4,0.5393333
1,0,0,4,33,13,1,1,0.511
1,0,1,3,1,12,3,4,0.5173333
0,0,1,4,33,15,1,3,0.511
0,0,1,3,31,11,1,3,0.5633333
0,0,1,4,40,14,1,2,0.467
0,0,1,3,39,10,1,2,0.5213333
1,0,1,2,39,8,1,4,0.5213333
0,0,1,3,31,12,1,4,0.5633333
0,0,1,3,23,10,2,2,0.5546667
1,0,0,1,14,3,2,3,0.5336667
1,0,1,4,44,14,3,2,0.5613334
0,0,1,3,22,10,1,2,0.478
0,0,1,2,23,7,2,3,0.5546667
1,0,1,1,18,3,3,3,0.5243334
0,1,1,4,47,13,3,1,0.567
0,0,1,4,36,14,2,2,0.5493333
0,0,1,3,7,10,1,2,0.564
0,0,0,2,22,6,1,2,0.478
0,0,1,3,33,12,1,4,0.511
0,0,1,1,39,3,1,3,0.5213333
0,0,1,1,45,2,4,2,0.727
1,1,1,4,50,14,2,2,0.521
0,0,1,3,33,11,1,3,0.511
1,0,0,3,39,12,1,4,0.5213333
0,1,0,3,26,11,2,3,0.5293334
1,0,1,4,14,15,2,3,0.5336667
0,0,0,1,7,4,1,4,0.564
1,0,1,1,17,2,2,2,0.6146666
1,0,1,1,10,4,3,4,0.5696666
0,0,1,1,22,2,1,2,0.478
0,0,0,2,14,6,2,2,0.5336667
1,0,1,1,31,4,1,4,0.5633333
1,0,1,3,33,9,1,1,0.511
0,0,1,3,50,9,2,1,0.521
1,0,0,2,48,8,4,4,0.5523333
1,1,0,2,44,6,3,2,0.5613334
1,0,1,4,42,15,2,3,0.5986667
0,0,1,3,39,10,1,2,0.5213333
1,0,1,2,1,6,3,2,0.5173333
0,0,1,2,22,8,1,4,0.478
0,0,0,2,15,6,2,2,0.5863333
1,0,0,2,22,6,1,2,0.478
0,0,1,4,33,16,1,4,0.511
0,0,0,3,43,10,3,2,0.5063334
0,0,1,2,14,7,2,3,0.5336667
1,0,0,1,31,4,1,4,0.5633333
1,0,0,1,26,3,2,3,0.5293334
0,0,1,4,23,15,2,3,0.5546667
0,0,1,2,50,8,2,4,0.521
0,0,0,2,50,7,2,3,0.521
0,1,0,3,39,9,1,1,0.5213333
1,0,0,2,35,7,2,3,0.6323333
1,0,1,2,15,7,2,3,0.5863333
1,0,0,3,44,12,3,4,0.5613334
1,0,0,2,26,8,2,4,0.5293334
1,0,0,3,19,9,3,1,0.538
0,0,0,2,15,6,2,2,0.5863333
1,0,0,1,39,4,1,4,0.5213333
0,1,1,1,25,2,3,2,0.5403333
1,0,1,4,31,14,1,2,0.5633333
0,0,1,4,26,16,2,4,0.5293334
1,0,1,2,22,8,1,4,0.478
1,0,1,2,50,7,2,3,0.521
0,0,1,2,14,7,2,3,0.5336667
0,0,0,1,15,2,2,2,0.5863333
1,0,1,3,14,12,2,4,0.5336667
1,0,1,1,36,2,2,2,0.5493333
1,0,1,3,47,9,3,1,0.567
1,0,1,3,23,12,2,4,0.5546667
1,0,1,2,23,6,2,2,0.5546667
1,0,0,1,15,3,2,3,0.5863333
1,0,0,1,15,4,2,4,0.5863333
1,0,1,2,34,7,3,3,0.525
1,0,0,3,17,12,2,4,0.6146666
1,0,0,4,24,14,2,2,0.4713334
1,0,0,1,50,2,2,2,0.521
1,0,0,1,14,2,2,2,0.5336667
0,0,0,2,15,8,2,4,0.5863333
1,0,0,2,26,6,2,2,0.5293334
1,0,1,2,31,8,1,4,0.5633333
1,0,0,3,44,11,3,3,0.5613334
0,0,0,2,23,6,2,2,0.5546667
0,0,0,2,4,6,3,2,0.4883333
1,0,0,3,14,12,2,4,0.5336667
1,0,1,1,37,2,3,2,0.6086667
0,0,1,4,17,15,2,3,0.6146666
0,0,0,3,36,10,2,2,0.5493333
1,0,0,1,7,4,1,4,0.564
0,0,1,2,23,8,2,4,0.5546667
1,0,0,3,23,11,2,3,0.5546667
1,0,0,2,17,6,2,2,0.6146666
1,0,1,3,41,10,3,2,0.5253333
1,0,1,1,17,4,2,4,0.6146666
0,0,0,3,5,9,4,1,0.562
0,0,1,1,24,2,2,2,0.4713334
0,0,1,2,14,8,2,4,0.5336667
0,0,0,2,23,7,2,3,0.5546667
1,0,0,2,14,8,2,4,0.5336667
1,0,0,1,36,3,2,3,0.5493333
0,1,1,1,21,2,1,2,0.494
1,0,0,3,34,11,3,3,0.525
0,0,1,1,22,4,1,4,0.478
0,1,0,3,14,11,2,3,0.5336667
0,0,0,2,14,6,2,2,0.5336667
0,0,1,2,36,8,2,4,0.5493333
1,0,1,2,44,8,3,4,0.5613334
1,0,0,2,10,8,3,4,0.5696666
1,0,0,1,47,1,3,1,0.567
1,0,1,2,44,7,3,3,0.5613334
1,0,1,2,11,6,3,2,0.4513333
1,0,0,3,1,10,3,2,0.5173333
1,1,1,2,50,5,2,1,0.521
1,0,0,4,16,15,2,3,0.5226667
1,0,0,2,26,8,2,4,0.5293334
1,1,1,1,1,3,3,3,0.5173333
1,0,1,3,14,10,2,2,0.5336667
1,1,1,1,36,4,2,4,0.5493333
1,0,1,2,44,6,3,2,0.5613334
0,0,0,2,14,6,2,2,0.5336667
0,0,1,4,10,14,3,2,0.5696666
1,0,0,4,42,13,2,1,0.5986667
1,0,1,4,26,13,2,1,0.5293334
0,1,1,2,21,5,1,1,0.494
1,0,1,2,37,6,3,2,0.6086667
1,0,1,2,18,6,3,2,0.5243334
1,0,1,1,44,4,3,4,0.5613334
0,0,1,2,14,7,2,3,0.5336667
1,0,0,1,15,4,2,4,0.5863333
0,0,0,4,19,16,3,4,0.538
0,0,1,1,49,4,1,4,0.4836667
1,0,0,3,17,10,2,2,0.6146666
1,0,0,3,19,10,3,2,0.538
1,0,1,2,19,7,3,3,0.538
1,0,0,3,14,11,2,3,0.5336667
1,0,0,3,36,12,2,4,0.5493333
1,0,0,2,16,8,2,4,0.5226667
1,0,1,4,42,13,2,1,0.5986667
1,0,1,2,23,7,2,3,0.5546667
1,0,0,2,25,5,3,1,0.5403333
1,0,0,2,17,5,2,1,0.6146666
0,0,1,4,43,13,3,1,0.5063334
0,0,1,1,4,2,3,2,0.4883333
0,1,1,1,11,3,3,3,0.4513333
1,0,1,3,11,12,3,4,0.4513333
1,0,1,2,44,8,3,4,0.5613334
1,0,1,2,49,8,1,4,0.4836667
0,0,1,4,18,14,3,2,0.5243334
1,0,1,3,1,11,3,3,0.5173333
1,0,1,4,24,14,2,2,0.4713334
1,0,1,2,4,8,3,4,0.4883333
1,0,1,2,25,7,3,3,0.5403333
1,0,1,1,49,2,1,2,0.4836667
1,0,1,1,14,2,2,2,0.5336667
1,0,0,3,32,10,4,2,0.5713333
1,0,1,2,36,7,2,3,0.5493333
1,0,1,2,44,6,3,2,0.5613334
1,0,1,2,44,8,3,4,0.5613334
0,0,0,3,11,11,3,3,0.4513333
0,0,1,2,43,5,3,1,0.5063334
1,0,0,2,18,7,3,3,0.5243334
1,0,1,3,14,10,2,2,0.5336667
1,0,1,3,50,10,2,2,0.521
1,0,1,2,44,8,3,4,0.5613334
1,0,1,2,19,8,3,4,0.538
1,0,0,3,5,10,4,2,0.562
1,0,0,2,44,8,3,4,0.5613334
0,0,0,3,5,12,4,4,0.562
1,0,0,2,3,7,4,3,0.6463333
0,0,1,1,44,3,3,3,0.5613334
1,0,0,2,25,8,3,4,0.5403333
1,1,1,2,1,7,3,3,0.5173333
0,0,1,3,18,10,3,2,0.5243334
0,0,0,3,44,10,3,2,0.5613334
0,0,1,1,5,2,4,2,0.562
0,0,0,3,6,12,4,4,0.613
0,0,0,2,26,6,2,2,0.5293334
0,0,1,1,6,4,4,4,0.613
0,0,1,1,50,3,2,3,0.521
1,0,1,1,38,4,4,4,0.5393333
0,0,1,3,24,10,2,2,0.4713334
0,0,0,2,1,8,3,4,0.5173333
1,0,1,3,25,10,3,2,0.5403333
0,0,1,4,5,14,4,2,0.562
0,0,0,3,5,11,4,3,0.562
0,0,1,2,48,5,4,1,0.5523333
1,0,0,3,5,11,4,3,0.562
1,0,0,2,5,8,4,4,0.562
0,0,1,2,45,8,4,4,0.727
1,0,0,1,5,4,4,4,0.562
0,0,0,2,48,8,4,4,0.5523333
1,0,1,1,5,3,4,3,0.562
1,0,1,2,5,7,4,3,0.562
1,0,0,2,6,7,4,3,0.613
1,1,0,3,5,10,4,2,0.562
0,0,0,2,5,8,4,4,0.562
1,0,1,3,5,11,4,3,0.562
1,0,0,1,5,3,4,3,0.562
0,0,0,2,5,8,4,4,0.562
0,0,1,2,5,6,4,2,0.562
0,0,1,2,5,5,4,1,0.562
1,0,0,3,48,10,4,2,0.5523333
1,0,1,4,5,16,4,4,0.562
1,0,0,2,3,8,4,4,0.6463333
1,0,0,4,6,14,4,2,0.613
0,0,1,3,5,12,4,4,0.562
1,0,1,4,5,13,4,1,0.562
1,0,0,2,32,5,4,1,0.5713333
0,0,0,3,13,11,4,3,0.6916667
1,0,0,4,38,14,4,2,0.5393333
1,0,1,1,5,4,4,4,0.562
1,0,1,2,45,8,4,4,0.727
1,0,1,1,48,3,4,3,0.5523333
0,0,0,2,5,8,4,4,0.562
1,0,0,4,5,16,4,4,0.562
0,0,0,3,5,9,4,1,0.562
0,0,1,2,48,7,4,3,0.5523333
0,0,0,3,21,12,1,4,0.494
0,0,1,4,8,15,1,3,0.5283334
1,0,0,2,43,7,3,3,0.5063334
1,0,1,2,25,7,3,3,0.5403333
0,0,0,3,10,11,3,3,0.5696666
0,0,1,3,36,10,2,2,0.5493333
0,0,1,4,47,14,3,2,0.567
0,0,1,2,1,8,3,4,0.5173333
1,0,0,2,32,7,4,3,0.5713333
0,1,1,2,11,6,3,2,0.4513333
1,0,1,1,5,3,4,3,0.562
0,0,1,3,5,9,4,1,0.562
0,0,0,2,48,7,4,3,0.5523333
1,0,1,4,6,14,4,2,0.613
0,0,0,1,5,3,4,3,0.562
1,0,0,4,10,14,3,2,0.5696666
1,0,0,4,22,13,1,1,0.478
1,0,1,1,25,3,3,3,0.5403333
1,0,1,3,10,10,3,2,0.5696666
1,0,1,1,20,4,1,4,0.5446666
0,0,1,3,10,11,3,3,0.5696666
0,0,0,2,31,7,1,3,0.5633333
1,0,0,2,39,6,1,2,0.5213333
1,0,1,3,44,12,3,4,0.5613334
1,0,1,1,11,3,3,3,0.4513333
0,0,1,3,33,12,1,4,0.511
0,0,1,1,22,3,1,3,0.478
0,0,1,2,34,7,3,3,0.525
1,0,1,1,22,4,1,4,0.478
1,0,1,3,39,10,1,2,0.5213333
1,0,0,4,34,14,3,2,0.525
0,0,1,2,22,6,1,2,0.478
1,0,0,1,31,2,1,2,0.5633333
0,0,1,1,31,3,1,3,0.5633333
0,0,1,3,50,10,2,2,0.521
0,0,1,2,31,8,1,4,0.5633333
1,0,0,1,28,1,2,1,0.6773334
1,0,0,2,44,8,3,4,0.5613334
0,0,1,1,22,2,1,2,0.478
0,0,0,3,23,9,2,1,0.5546667
0,0,0,2,33,8,1,4,0.511
1,0,1,4,18,13,3,1,0.5243334
0,0,1,3,33,11,1,3,0.511
0,0,1,3,44,10,3,2,0.5613334
0,0,0,2,22,7,1,3,0.478
1,0,1,2,44,8,3,4,0.5613334
0,0,0,3,39,10,1,2,0.5213333
0,0,1,4,43,14,3,2,0.5063334
1,0,1,1,7,2,1,2,0.564
0,0,1,2,10,8,3,4,0.5696666
0,0,1,2,22,8,1,4,0.478
1,1,1,4,44,13,3,1,0.5613334
1,0,1,2,33,8,1,4,0.511
0,0,1,3,21,11,1,3,0.494
0,0,0,1,36,4,2,4,0.5493333
1,0,0,3,17,12,2,4,0.6146666
1,0,0,2,33,7,1,3,0.511
0,1,1,1,25,3,3,3,0.5403333
0,0,0,2,34,5,3,1,0.525
0,0,0,2,22,5,1,1,0.478
1,0,1,1,40,3,1,3,0.467
1,1,1,3,22,10,1,2,0.478
1,0,1,2,43,7,3,3,0.5063334
0,0,0,3,34,10,3,2,0.525
1,0,1,2,33,7,1,3,0.511
0,0,1,3,33,9,1,1,0.511
0,0,0,2,39,8,1,4,0.5213333
0,0,0,2,11,7,3,3,0.4513333
1,0,1,1,49,3,1,3,0.4836667
0,1,0,3,36,10,2,2,0.5493333
1,0,1,2,47,6,3,2,0.567
1,0,1,3,10,10,3,2,0.5696666
0,0,1,3,23,10,2,2,0.5546667
0,0,1,2,33,6,1,2,0.511
0,0,0,2,10,6,3,2,0.5696666
1,0,1,1,34,2,3,2,0.525
1,0,1,1,47,2,3,2,0.567
0,0,0,3,39,12,1,4,0.5213333
0,0,1,4,43,15,3,3,0.5063334
0,0,1,3,43,9,3,1,0.5063334
0,0,1,3,39,10,1,2,0.5213333
1,0,0,2,47,8,3,4,0.567
1,0,1,3,14,10,2,2,0.5336667
1,0,1,2,33,6,1,2,0.511
1,0,0,2,41,5,3,1,0.5253333
1,1,1,3,1,9,3,1,0.5173333
1,0,0,3,33,12,1,4,0.511
0,0,1,2,33,8,1,4,0.511
1,0,0,2,41,7,3,3,0.5253333
1,0,1,2,21,7,1,3,0.494
1,0,0,2,36,6,2,2,0.5493333
0,0,1,2,39,8,1,4,0.5213333
0,1,1,3,25,10,3,2,0.5403333
1,0,0,3,19,12,3,4,0.538
1,0,0,2,49,8,1,4,0.4836667
1,0,0,2,36,6,2,2,0.5493333
1,0,1,1,36,2,2,2,0.5493333
1,0,0,4,22,14,1,2,0.478
1,0,1,2,47,7,3,3,0.567
1,0,1,3,50,11,2,3,0.521
1,0,0,2,37,7,3,3,0.6086667
1,0,0,2,39,7,1,3,0.5213333
1,0,0,2,44,7,3,3,0.5613334
1,0,0,2,11,6,3,2,0.4513333
1,1,1,1,35,2,2,2,0.6323333
1,0,1,2,39,8,1,4,0.5213333
0,0,0,3,14,10,2,2,0.5336667
0,0,0,1,31,2,1,2,0.5633333
1,0,1,3,23,10,2,2,0.5546667
1,0,0,2,43,8,3,4,0.5063334
0,0,0,2,43,8,3,4,0.5063334
1,0,1,4,43,14,3,2,0.5063334
0,0,0,3,14,9,2,1,0.5336667
1,0,0,3,50,12,2,4,0.521
1,0,1,2,43,7,3,3,0.5063334
0,1,0,1,33,3,1,3,0.511
0,0,1,3,7,12,1,4,0.564
0,0,0,1,44,3,3,3,0.5613334
1,0,1,3,21,10,1,2,0.494
1,0,1,3,36,10,2,2,0.5493333
1,0,1,2,21,8,1,4,0.494
1,0,0,3,44,11,3,3,0.5613334
1,0,0,1,23,2,2,2,0.5546667
0,1,1,2,23,6,2,2,0.5546667
1,0,0,2,21,6,1,2,0.494
1,1,1,4,41,13,3,1,0.5253333
0,0,0,2,36,8,2,4,0.5493333
0,0,1,1,23,3,2,3,0.5546667
1,0,1,3,7,12,1,4,0.564
0,0,1,3,50,10,2,2,0.521
1,0,1,3,26,12,2,4,0.5293334
1,0,1,3,43,10,3,2,0.5063334
1,0,0,3,11,10,3,2,0.4513333
1,0,1,2,10,8,3,4,0.5696666
0,0,0,2,14,8,2,4,0.5336667
1,0,1,2,36,8,2,4,0.5493333
0,0,1,3,44,9,3,1,0.5613334
0,0,1,2,11,6,3,2,0.4513333
1,0,0,2,43,6,3,2,0.5063334
0,0,0,4,10,14,3,2,0.5696666
1,0,0,2,14,8,2,4,0.5336667
1,0,1,3,24,12,2,4,0.4713334
1,0,0,3,18,9,3,1,0.5243334
1,0,1,3,34,10,3,2,0.525
1,0,0,2,41,6,3,2,0.5253333
1,0,0,1,26,2,2,2,0.5293334
1,0,0,1,26,2,2,2,0.5293334
0,0,0,4,23,13,2,1,0.5546667
1,0,1,3,36,11,2,3,0.5493333
0,1,1,3,23,10,2,2,0.5546667
0,0,0,2,16,7,2,3,0.5226667
0,0,1,3,39,9,1,1,0.5213333
1,0,1,2,10,8,3,4,0.5696666
0,0,0,4,44,15,3,3,0.5613334
1,0,0,4,41,15,3,3,0.5253333
0,0,0,1,36,2,2,2,0.5493333
1,0,0,4,7,14,1,2,0.564
1,0,0,1,50,4,2,4,0.521
0,0,1,2,26,7,2,3,0.5293334
0,1,1,2,33,7,1,3,0.511
0,0,0,3,11,9,3,1,0.4513333
0,0,0,3,43,10,3,2,0.5063334
0,0,1,3,44,11,3,3,0.5613334
1,0,1,3,1,12,3,4,0.5173333
1,0,1,4,10,16,3,4,0.5696666
0,0,0,2,41,8,3,4,0.5253333
0,0,0,1,15,1,2,1,0.5863333
0,0,1,4,23,14,2,2,0.5546667
0,0,0,1,24,3,2,3,0.4713334
0,1,0,3,23,9,2,1,0.5546667
1,0,1,2,14,7,2,3,0.5336667
1,0,1,2,26,6,2,2,0.5293334
1,0,1,3,15,10,2,2,0.5863333
0,0,1,1,42,4,2,4,0.5986667
0,0,1,2,49,6,1,2,0.4836667
0,0,1,4,43,16,3,4,0.5063334
0,0,0,2,34,5,3,1,0.525
0,0,1,3,42,10,2,2,0.5986667
0,0,1,2,8,6,1,2,0.5283334
0,0,0,1,33,4,1,4,0.511
1,0,0,1,25,4,3,4,0.5403333
1,0,1,3,1,10,3,2,0.5173333
1,0,1,1,36,3,2,3,0.5493333
1,0,1,1,35,3,2,3,0.6323333
1,0,1,3,24,10,2,2,0.4713334
1,0,1,1,11,4,3,4,0.4513333
1,0,1,3,50,10,2,2,0.521
1,0,0,3,39,12,1,4,0.5213333
1,0,1,4,36,15,2,3,0.5493333
1,0,0,1,14,4,2,4,0.5336667
0,0,0,3,3,10,4,2,0.6463333
1,0,1,1,49,3,1,3,0.4836667
0,0,0,2,44,8,3,4,0.5613334
0,0,1,3,14,10,2,2,0.5336667
0,0,0,2,31,7,1,3,0.5633333
0,0,1,1,14,2,2,2,0.5336667
0,0,1,2,23,8,2,4,0.5546667
