record_id,time_slot,house,date,day,month,time,subject_id,age,response,dynamic_house_size,static_house_size,wealth,rain
34,18,5,9/8/04,Wednesday,9,14:23,1,27,agriculture,8,8,3175,307
35,19,23,9/8/04,Wednesday,9,14:53,17,40,firewood,5,6,4050,307
36,20,3,9/8/04,Wednesday,9,15:23,35,44,steady_job,10,10,40850,307
37,21,9,9/8/04,Wednesday,9,15:53,14,16,z,10,10,4975,307
38,22,1,9/8/04,Wednesday,9,16:23,19,13,manufacture,9,13,6050,307
39,22,1,9/8/04,Wednesday,9,16:23,16,29,steady_job,9,13,6050,307
40,1,29,9/10/04,Friday,9,5:44,20,43,manufacture,3,3,56200,307
41,1,29,9/10/04,Friday,9,5:44,22,14,z,3,3,56200,307
42,3,25,9/10/04,Friday,9,6:44,5,40,z,7,9,5925,307
43,4,16,9/10/04,Friday,9,7:14,11,29,fishing,6,7,2100,307
44,5,10,9/10/04,Friday,9,7:44,26,46,wage,9,9,7975,307
45,6,22,9/10/04,Friday,9,8:14,39,57,wage,2,8,12475,307
46,7,5,9/10/04,Friday,9,8:44,4,15,gold,8,8,3175,307
47,7,5,9/10/04,Friday,9,8:44,1,27,wage,8,8,3175,307
48,8,30,9/10/04,Friday,9,9:14,38,28,steady_job,4,5,4800,307
49,9,17,9/10/04,Friday,9,9:45,13,31,gold,9,9,8600,307
50,10,3,9/10/04,Friday,9,10:14,35,44,steady_job,10,10,40850,307
51,11,9,9/10/04,Friday,9,10:44,14,16,agriculture,10,10,4975,307
52,11,9,9/10/04,Friday,9,10:44,9,14,school,10,10,4975,307
53,11,9,9/10/04,Friday,9,10:44,23,43,steady_job,10,10,4975,307
54,12,1,9/10/04,Friday,9,11:14,7,15,agriculture,9,13,6050,307
55,12,1,9/10/04,Friday,9,11:14,19,13,school,9,13,6050,307
56,12,1,9/10/04,Friday,9,11:14,16,29,wage,9,13,6050,307
57,13,7,9/10/04,Friday,9,11:44,31,62,agriculture,2,3,7175,307
58,16,13,9/10/04,Friday,9,13:15,41,60,agriculture,12,6,3300,307
59,16,13,9/10/04,Friday,9,13:15,10,14,agriculture,12,6,3300,307
60,17,24,9/10/04,Friday,9,13:44,30,16,firewood,9,10,2975,307
61,17,24,9/10/04,Friday,9,13:44,18,35,hunting,9,10,2975,307
62,18,19,9/10/04,Friday,9,14:14,33,67,agriculture,5,5,6300,307
63,20,6,9/10/04,Friday,9,15:14,45,27,wage,7,7,800,307
64,21,4,9/10/04,Friday,9,15:44,6,30,agriculture,9,11,7275,307
65,21,4,9/10/04,Friday,9,15:44,12,17,agriculture,9,11,7275,307
66,22,18,9/10/04,Friday,9,16:14,44,16,school,9,9,1300,307
67,25,11,9/10/04,Friday,9,17:44,43,17,z,8,9,7350,307
68,25,11,9/10/04,Friday,9,17:44,28,44,wage,8,9,7350,307
69,1,7,9/13/04,Monday,9,5:50,31,62,firewood,2,3,7175,307
70,2,13,9/13/04,Monday,9,6:20,10,14,livestock,12,6,3300,307
71,2,13,9/13/04,Monday,9,6:20,41,60,z,12,6,3300,307
72,4,24,9/13/04,Monday,9,7:20,18,35,manufacture,9,10,2975,307
73,4,24,9/13/04,Monday,9,7:20,30,16,z,9,10,2975,307
74,5,1,9/13/04,Monday,9,7:50,7,15,school,9,13,6050,307
75,5,1,9/13/04,Monday,9,7:50,19,13,school,9,13,6050,307
76,5,1,9/13/04,Monday,9,7:50,16,29,wage,9,13,6050,307
77,6,3,9/13/04,Monday,9,8:20,35,44,steady_job,10,10,40850,307
78,7,18,9/13/04,Monday,9,8:50,44,16,school,9,9,1300,307
79,8,19,9/13/04,Monday,9,9:20,33,67,firewood,5,5,6300,307
80,9,23,9/13/04,Monday,9,9:50,17,40,firewood,5,6,4050,307
81,11,16,9/13/04,Monday,9,10:50,11,29,wage,6,7,2100,307
82,12,10,9/13/04,Monday,9,11:20,26,46,manufacture,9,9,7975,307
83,13,6,9/13/04,Monday,9,11:50,45,27,wage,7,7,800,307
84,15,17,9/13/04,Monday,9,12:50,13,31,gold,9,9,8600,307
85,16,4,9/13/04,Monday,9,13:20,6,30,agriculture,9,11,7275,307
86,17,9,9/13/04,Monday,9,13:50,14,16,livestock,10,10,4975,307
87,17,9,9/13/04,Monday,9,13:50,9,14,z,10,10,4975,307
88,17,9,9/13/04,Monday,9,13:50,23,43,wage,10,10,4975,307
89,18,29,9/13/04,Monday,9,14:20,22,14,domestic,3,3,56200,307
90,18,29,9/13/04,Monday,9,14:20,20,43,z,3,3,56200,307
91,20,25,9/13/04,Monday,9,15:20,5,40,wage,7,9,5925,307
92,21,30,9/13/04,Monday,9,15:50,38,28,z,5,5,4800,307
93,22,5,9/13/04,Monday,9,16:21,1,27,wage,8,8,3175,307
94,22,5,9/13/04,Monday,9,16:21,4,15,wage,8,8,3175,307
95,23,22,9/13/04,Monday,9,16:50,39,57,agriculture,2,8,12475,307
96,24,11,9/13/04,Monday,9,17:20,28,44,wage,8,9,7350,307
97,25,26,9/13/04,Monday,9,17:50,42,24,z,3,4,14650,307
98,1,11,9/16/04,Thursday,9,5:41,28,44,firewood,8,9,7350,307
99,1,11,9/16/04,Thursday,9,5:41,43,17,z,8,9,7350,307
100,2,7,9/16/04,Thursday,9,6:11,31,62,z,2,3,7175,307
101,3,30,9/16/04,Thursday,9,6:41,38,28,z,5,5,4800,307
102,4,13,9/16/04,Thursday,9,7:11,41,60,agriculture,12,6,3300,307
103,4,13,9/16/04,Thursday,9,7:11,10,14,z,12,6,3300,307
104,5,10,9/16/04,Thursday,9,7:40,26,46,z,9,9,7975,307
105,6,19,9/16/04,Thursday,9,8:11,33,67,z,5,5,6300,307
106,7,9,9/16/04,Thursday,9,8:41,14,16,agriculture,10,10,4975,307
107,7,9,9/16/04,Thursday,9,8:41,9,14,agriculture,10,10,4975,307
108,7,9,9/16/04,Thursday,9,8:41,23,43,steady_job,10,10,4975,307
109,8,21,9/16/04,Thursday,9,9:12,25,50,agriculture,11,11,7600,307
110,9,16,9/16/04,Thursday,9,9:41,11,29,gold,6,7,2100,307
111,10,23,9/16/04,Thursday,9,10:11,17,40,agriculture,5,6,4050,307
112,13,3,9/16/04,Thursday,9,11:41,35,44,steady_job,10,10,40850,307
113,14,25,9/16/04,Thursday,9,12:11,5,40,wage,7,9,5925,307
114,16,24,9/16/04,Thursday,9,13:11,18,35,gold,9,10,2975,307
115,17,6,9/16/04,Thursday,9,13:41,45,27,z,7,7,800,307
116,18,18,9/16/04,Thursday,9,14:11,44,16,z,9,9,1300,307
117,19,4,9/16/04,Thursday,9,14:41,6,30,agriculture,9,11,7275,307
118,19,4,9/16/04,Thursday,9,14:41,12,17,z,9,11,7275,307
119,20,22,9/16/04,Thursday,9,15:10,39,57,agriculture,2,8,12475,307
120,23,29,9/16/04,Thursday,9,16:41,20,43,z,3,3,56200,307
121,23,29,9/16/04,Thursday,9,16:41,22,14,z,3,3,56200,307
122,23,24,9/16/04,Thursday,9,16:41,36,18,z,9,10,2975,307
123,24,5,9/16/04,Thursday,9,17:11,1,27,z,8,8,3175,307
124,24,5,9/16/04,Thursday,9,17:11,4,15,z,8,8,3175,307
125,25,17,9/16/04,Thursday,9,17:40,13,31,z,9,9,8600,307
126,1,19,9/18/04,Saturday,9,6:29,33,67,z,5,5,6300,307
127,3,13,9/18/04,Saturday,9,6:58,10,14,finca,12,6,3300,307
128,3,13,9/18/04,Saturday,9,6:58,41,60,firewood,12,6,3300,307
129,4,24,9/18/04,Saturday,9,7:30,18,35,finca,9,10,2975,307
130,5,22,9/18/04,Saturday,9,7:59,39,57,agriculture,2,8,12475,307
131,7,16,9/18/04,Saturday,9,8:59,11,29,finca,6,7,2100,307
132,8,11,9/18/04,Saturday,9,9:33,28,44,wage,8,9,7350,307
133,9,10,9/18/04,Saturday,9,9:59,26,46,agriculture,9,9,7975,307
134,10,7,9/18/04,Saturday,9,10:29,31,62,firewood,2,3,7175,307
135,12,9,9/18/04,Saturday,9,11:29,14,16,fishing,10,10,4975,307
136,12,9,9/18/04,Saturday,9,11:29,9,14,fishing,10,10,4975,307
137,14,4,9/18/04,Saturday,9,12:29,12,17,z,9,11,7275,307
138,15,25,9/18/04,Saturday,9,12:58,5,40,wage,7,9,5925,307
139,16,23,9/18/04,Saturday,9,13:29,17,40,z,5,6,4050,307
140,17,6,9/18/04,Saturday,9,13:59,45,27,wage,7,7,800,307
141,18,26,9/18/04,Saturday,9,14:29,42,24,z,3,4,14650,307
142,19,17,9/18/04,Saturday,9,14:59,13,31,firewood,9,9,8600,307
143,20,21,9/18/04,Saturday,9,15:29,25,50,agriculture,11,11,7600,307
144,21,18,9/18/04,Saturday,9,15:57,44,16,z,9,9,1300,307
145,22,29,9/18/04,Saturday,9,16:29,20,43,steady_job,3,3,56200,307
146,24,5,9/18/04,Saturday,9,17:29,1,27,z,7,8,3175,307
147,1,6,10/19/04,Tuesday,10,5:53,45,27,wage,7,7,800,288
148,2,3,10/19/04,Tuesday,10,6:23,35,44,z,9,10,40850,288
149,3,9,10/19/04,Tuesday,10,6:53,14,16,z,10,10,4975,288
150,3,9,10/19/04,Tuesday,10,6:53,9,14,z,10,10,4975,288
151,3,9,10/19/04,Tuesday,10,6:53,23,43,steady_job,10,10,4975,288
152,4,24,10/19/04,Tuesday,10,7:23,18,35,gold,8,10,2975,288
153,4,24,10/19/04,Tuesday,10,7:23,30,16,gold,8,10,2975,288
154,6,11,10/19/04,Tuesday,10,8:23,28,44,agriculture,9,9,7350,288
155,7,19,10/19/04,Tuesday,10,8:53,33,67,agriculture,5,5,6300,288
156,8,29,10/19/04,Tuesday,10,9:23,22,14,school,3,3,56200,288
157,8,29,10/19/04,Tuesday,10,9:23,20,43,steady_job,3,3,56200,288
158,10,22,10/19/04,Tuesday,10,10:23,39,57,hunting,2,8,12475,288
159,11,23,10/19/04,Tuesday,10,10:53,17,40,wage,5,6,4050,288
160,12,30,10/19/04,Tuesday,10,11:23,38,28,agriculture,5,5,4800,288
161,13,5,10/19/04,Tuesday,10,11:53,4,15,gold,8,8,3175,288
162,13,5,10/19/04,Tuesday,10,11:53,1,27,wage,8,8,3175,288
163,14,25,10/19/04,Tuesday,10,12:23,5,40,wage,7,9,5925,288
164,15,18,10/19/04,Tuesday,10,12:53,44,16,z,9,9,1300,288
165,16,4,10/19/04,Tuesday,10,13:23,6,30,gold,9,11,7275,288
166,17,16,10/19/04,Tuesday,10,13:53,11,29,wage,6,7,2100,288
167,18,10,10/19/04,Tuesday,10,14:23,26,46,agriculture,9,9,7975,288
168,19,7,10/19/04,Tuesday,10,14:53,31,62,fishing,2,3,7175,288
169,20,1,10/19/04,Tuesday,10,15:23,3,17,finca,13,13,6050,288
170,20,1,10/19/04,Tuesday,10,15:23,19,13,z,13,13,6050,288
171,22,13,10/19/04,Tuesday,10,16:22,10,14,z,12,6,3300,288
172,22,13,10/19/04,Tuesday,10,16:22,41,60,wage,12,6,3300,288
173,23,17,10/19/04,Tuesday,10,16:52,13,31,z,9,9,8600,288
174,24,26,10/19/04,Tuesday,10,17:23,42,24,manufacture,3,4,14650,288
175,25,12,10/19/04,Tuesday,10,17:53,15,32,finca,4,4,5550,288
176,25,12,10/19/04,Tuesday,10,17:53,29,13,finca,4,4,5550,288
177,1,5,10/21/04,Thursday,10,5:43,1,27,z,8,8,3175,288
178,1,5,10/21/04,Thursday,10,5:43,4,15,z,8,8,3175,288
179,4,9,10/21/04,Thursday,10,7:13,14,16,z,10,10,4975,288
180,4,9,10/21/04,Thursday,10,7:13,9,14,z,10,10,4975,288
181,4,9,10/21/04,Thursday,10,7:13,23,43,steady_job,10,10,4975,288
182,5,7,10/21/04,Thursday,10,7:43,31,62,firewood,2,3,7175,288
183,6,12,10/21/04,Thursday,10,8:13,15,32,finca,4,4,5550,288
184,6,12,10/21/04,Thursday,10,8:13,29,13,finca,4,4,5550,288
185,7,16,10/21/04,Thursday,10,8:43,11,29,firewood,6,7,2100,288
186,8,24,10/21/04,Thursday,10,9:13,18,35,agriculture,8,10,2975,288
187,8,24,10/21/04,Thursday,10,9:13,30,16,z,8,10,2975,288
188,9,22,10/21/04,Thursday,10,9:43,39,57,z,2,8,12475,288
189,10,3,10/21/04,Thursday,10,10:14,35,44,steady_job,9,10,40850,288
190,12,17,10/21/04,Thursday,10,11:13,13,31,agriculture,9,9,8600,288
191,13,23,10/21/04,Thursday,10,11:43,17,40,z,5,6,4050,288
192,14,13,10/21/04,Thursday,10,12:13,41,60,z,12,6,3300,288
193,14,13,10/21/04,Thursday,10,12:13,10,14,z,12,6,3300,288
194,15,18,10/21/04,Thursday,10,12:43,44,16,livestock,11,9,1300,288
195,17,10,10/21/04,Thursday,10,13:44,26,46,z,9,9,7975,288
196,18,1,10/21/04,Thursday,10,14:13,3,17,finca,13,13,6050,288
197,18,1,10/21/04,Thursday,10,14:13,19,13,z,13,13,6050,288
198,19,29,10/21/04,Thursday,10,14:43,22,14,domestic,3,3,56200,288
199,19,29,10/21/04,Thursday,10,14:43,20,43,other_work,3,3,56200,288
200,20,4,10/21/04,Thursday,10,15:13,6,30,other_work,9,11,7275,288
201,21,11,10/21/04,Thursday,10,15:43,28,44,other_work,9,9,7350,288
202,22,6,10/21/04,Thursday,10,16:13,45,27,wage,7,7,800,288
203,23,19,10/21/04,Thursday,10,16:43,33,67,other_work,5,5,6300,288
204,24,25,10/21/04,Thursday,10,17:13,5,40,other_work,7,9,5925,288
205,1,26,10/22/04,Friday,10,5:39,42,24,firewood,3,4,14650,288
206,2,4,10/22/04,Friday,10,6:09,6,30,z,9,11,7275,288
207,3,19,10/22/04,Friday,10,6:39,33,67,z,5,5,6300,288
208,4,18,10/22/04,Friday,10,7:09,44,16,z,11,9,1300,288
209,5,12,10/22/04,Friday,10,7:39,15,32,finca,4,4,5550,288
210,5,12,10/22/04,Friday,10,7:39,29,13,finca,4,4,5550,288
211,7,13,10/22/04,Friday,10,8:39,41,60,agriculture,12,6,3300,288
212,7,13,10/22/04,Friday,10,8:39,10,14,agriculture,12,6,3300,288
213,8,25,10/22/04,Friday,10,9:09,5,40,agriculture,7,9,5925,288
214,9,23,10/22/04,Friday,10,9:39,17,40,agriculture,5,6,4050,288
215,10,3,10/22/04,Friday,10,10:09,35,44,agriculture,9,10,40850,288
216,11,5,10/22/04,Friday,10,10:39,1,27,agriculture,8,8,3175,288
217,11,5,10/22/04,Friday,10,10:39,4,15,agriculture,8,8,3175,288
218,12,16,10/22/04,Friday,10,11:09,11,29,agriculture,6,7,2100,288
219,13,9,10/22/04,Friday,10,11:39,23,43,agriculture,10,10,4975,288
220,13,9,10/22/04,Friday,10,11:39,14,16,school,10,10,4975,288
221,13,9,10/22/04,Friday,10,11:39,9,14,school,10,10,4975,288
222,14,17,10/22/04,Friday,10,12:09,13,31,agriculture,9,9,8600,288
223,15,22,10/22/04,Friday,10,12:39,39,57,agriculture,2,8,12475,288
224,16,1,10/22/04,Friday,10,13:09,3,17,finca,13,13,6050,288
225,16,1,10/22/04,Friday,10,13:09,7,15,z,13,13,6050,288
226,16,1,10/22/04,Friday,10,13:09,19,13,z,13,13,6050,288
227,16,1,10/22/04,Friday,10,13:09,16,29,steady_job,13,13,6050,288
228,17,30,10/22/04,Friday,10,13:40,38,28,z,5,5,4800,288
229,18,24,10/22/04,Friday,10,14:09,18,35,domestic,8,10,2975,288
230,18,24,10/22/04,Friday,10,14:09,30,16,z,8,10,2975,288
231,20,11,10/22/04,Friday,10,15:09,28,44,agriculture,9,9,7350,288
232,20,11,10/22/04,Friday,10,15:09,43,17,z,9,9,7350,288
233,21,6,10/22/04,Friday,10,15:39,45,27,other_work,7,7,800,288
234,22,10,10/22/04,Friday,10,16:09,26,46,domestic,9,9,7975,288
235,23,7,10/22/04,Friday,10,16:39,31,62,z,2,3,7175,288
236,24,29,10/22/04,Friday,10,17:09,20,43,z,3,3,56200,288
237,24,29,10/22/04,Friday,10,17:09,22,14,school,3,3,56200,288
238,25,21,10/22/04,Friday,10,17:39,25,50,z,10,11,7600,288
239,1,17,10/23/04,Saturday,10,5:34,13,31,z,9,9,8600,288
240,2,26,10/23/04,Saturday,10,6:04,42,24,z,3,4,14650,288
241,3,6,10/23/04,Saturday,10,6:34,45,27,z,7,7,800,288
242,4,18,10/23/04,Saturday,10,7:04,44,16,z,11,9,1300,288
243,5,4,10/23/04,Saturday,10,7:34,6,30,manufacture,9,11,7275,288
244,6,12,10/23/04,Saturday,10,8:04,15,32,finca,4,4,5550,288
245,6,12,10/23/04,Saturday,10,8:04,29,13,finca,4,4,5550,288
246,8,9,10/23/04,Saturday,10,9:04,23,43,agriculture,10,10,4975,288
247,8,9,10/23/04,Saturday,10,9:04,9,14,agriculture,10,10,4975,288
248,8,9,10/23/04,Saturday,10,9:04,14,16,fishing,10,10,4975,288
249,9,10,10/23/04,Saturday,10,9:38,26,46,manufacture,9,9,7975,288
250,10,11,10/23/04,Saturday,10,10:03,43,17,agriculture,8,9,7350,288
251,11,21,10/23/04,Saturday,10,10:34,25,50,gold,10,11,7600,288
252,12,13,10/23/04,Saturday,10,11:04,41,60,agriculture,12,6,3300,288
253,12,13,10/23/04,Saturday,10,11:04,10,14,firewood,12,6,3300,288
254,13,19,10/23/04,Saturday,10,11:35,33,67,agriculture,5,5,6300,288
255,14,1,10/23/04,Saturday,10,12:04,19,13,agriculture,13,13,6050,288
256,14,1,10/23/04,Saturday,10,12:04,3,17,finca,13,13,6050,288
257,14,1,10/23/04,Saturday,10,12:04,7,15,z,13,13,6050,288
258,14,1,10/23/04,Saturday,10,12:04,16,29,steady_job,13,13,6050,288
259,15,29,10/23/04,Saturday,10,12:34,22,14,firewood,3,3,56200,288
260,15,29,10/23/04,Saturday,10,12:34,20,43,steady_job,3,3,56200,288
261,16,7,10/23/04,Saturday,10,13:04,31,62,agriculture,2,3,7175,288
262,17,5,10/23/04,Saturday,10,13:33,4,15,firewood,8,8,3175,288
263,17,5,10/23/04,Saturday,10,13:33,1,27,gold,8,8,3175,288
264,18,30,10/23/04,Saturday,10,14:04,38,28,agriculture,5,5,4800,288
265,19,16,10/23/04,Saturday,10,14:34,11,29,fishing,6,7,2100,288
266,22,22,10/23/04,Saturday,10,16:04,39,57,other_work,2,8,12475,288
267,23,24,10/23/04,Saturday,10,16:34,18,35,other_work,8,10,2975,288
268,23,24,10/23/04,Saturday,10,16:34,30,16,other_work,8,10,2975,288
269,24,23,10/23/04,Saturday,10,17:04,17,40,other_work,6,6,4050,288
270,1,1,10/25/04,Monday,10,5:49,3,17,z,13,13,6050,288
271,1,12,10/25/04,Monday,10,5:49,15,32,z,4,4,5550,288
272,1,12,10/25/04,Monday,10,5:49,29,13,z,4,4,5550,288
273,2,7,10/25/04,Monday,10,6:19,31,62,agriculture,2,3,7175,288
274,5,5,10/25/04,Monday,10,7:49,1,27,z,8,8,3175,288
275,5,5,10/25/04,Monday,10,7:49,4,15,z,8,8,3175,288
276,8,18,10/25/04,Monday,10,9:19,44,16,other_work,11,9,1300,288
277,9,13,10/25/04,Monday,10,9:49,10,14,agriculture,12,6,3300,288
278,9,13,10/25/04,Monday,10,9:49,41,60,other_work,12,6,3300,288
279,10,25,10/25/04,Monday,10,10:19,5,40,z,7,9,5925,288
280,11,21,10/25/04,Monday,10,10:48,25,50,other_work,11,11,7600,288
281,12,16,10/25/04,Monday,10,11:19,11,29,other_work,6,7,2100,288
282,13,9,10/25/04,Monday,10,11:49,14,16,school,10,10,4975,288
283,13,9,10/25/04,Monday,10,11:49,9,14,school,10,10,4975,288
284,13,9,10/25/04,Monday,10,11:49,23,43,steady_job,10,10,4975,288
285,14,29,10/25/04,Monday,10,12:19,20,43,z,3,3,56200,288
286,14,29,10/25/04,Monday,10,12:19,22,14,z,3,3,56200,288
287,15,26,10/25/04,Monday,10,12:49,42,24,firewood,3,4,14650,288
288,16,23,10/25/04,Monday,10,13:19,17,40,other_work,6,6,4050,288
289,18,1,10/25/04,Monday,10,14:19,7,15,z,13,13,6050,288
290,18,1,10/25/04,Monday,10,14:19,16,29,z,13,13,6050,288
291,18,1,10/25/04,Monday,10,14:19,19,13,z,13,13,6050,288
292,19,11,10/25/04,Monday,10,14:49,43,17,z,8,9,7350,288
293,20,24,10/25/04,Monday,10,15:19,18,35,gold,8,10,2975,288
294,21,10,10/25/04,Monday,10,15:47,26,46,agriculture,9,9,7975,288
295,22,6,10/25/04,Monday,10,16:19,45,27,z,7,7,800,288
296,24,22,10/25/04,Monday,10,17:19,39,57,z,2,8,12475,288
297,25,19,10/25/04,Monday,10,17:49,33,67,z,5,5,6300,288
298,1,4,10/27/04,Wednesday,10,5:36,6,30,firewood,9,11,7275,288
299,2,13,10/27/04,Wednesday,10,6:06,10,14,firewood,12,6,3300,288
300,2,13,10/27/04,Wednesday,10,6:06,41,60,z,12,6,3300,288
301,3,21,10/27/04,Wednesday,10,6:36,25,50,gold,11,11,7600,288
302,4,12,10/27/04,Wednesday,10,7:06,15,32,finca,4,4,5550,288
303,4,12,10/27/04,Wednesday,10,7:06,29,13,finca,4,4,5550,288
304,5,23,10/27/04,Wednesday,10,7:36,17,40,z,7,6,4050,288
305,6,26,10/27/04,Wednesday,10,8:06,42,24,steady_job,3,4,14650,288
306,7,22,10/27/04,Wednesday,10,8:36,39,57,gold,2,8,12475,288
307,8,16,10/27/04,Wednesday,10,9:06,11,29,gold,6,7,2100,288
308,11,10,10/27/04,Wednesday,10,10:36,26,46,agriculture,9,9,7975,288
309,13,1,10/27/04,Wednesday,10,11:36,3,17,agriculture,13,13,6050,288
310,13,1,10/27/04,Wednesday,10,11:36,16,29,livestock,13,13,6050,288
311,13,1,10/27/04,Wednesday,10,11:36,7,15,z,13,13,6050,288
312,13,1,10/27/04,Wednesday,10,11:36,19,13,school,13,13,6050,288
313,14,30,10/27/04,Wednesday,10,12:06,38,28,z,5,5,4800,288
314,15,5,10/27/04,Wednesday,10,12:36,1,27,gold,8,8,3175,288
315,15,5,10/27/04,Wednesday,10,12:36,4,15,gold,8,8,3175,288
316,18,9,10/27/04,Wednesday,10,14:06,14,16,agriculture,10,10,4975,288
317,18,9,10/27/04,Wednesday,10,14:06,9,14,agriculture,10,10,4975,288
318,18,9,10/27/04,Wednesday,10,14:06,23,43,z,10,10,4975,288
319,19,25,10/27/04,Wednesday,10,14:36,5,40,manufacture,7,9,5925,288
320,20,7,10/27/04,Wednesday,10,15:06,31,62,agriculture,2,3,7175,288
321,21,29,10/27/04,Wednesday,10,15:36,22,14,school,3,3,56200,288
322,21,29,10/27/04,Wednesday,10,15:36,20,43,steady_job,3,3,56200,288
323,22,18,10/27/04,Wednesday,10,16:06,44,16,school,12,9,1300,288
324,23,24,10/27/04,Wednesday,10,16:35,18,35,gold,8,10,2975,288
325,23,24,10/27/04,Wednesday,10,16:35,30,16,z,8,10,2975,288
326,24,6,10/27/04,Wednesday,10,17:06,45,27,z,7,7,800,288
327,25,19,10/27/04,Wednesday,10,17:35,33,67,z,5,5,6300,288
328,2,19,11/15/04,Monday,11,6:17,33,67,livestock,5,5,6300,238
329,3,12,11/15/04,Monday,11,6:47,29,13,z,4,4,5550,238
330,4,13,11/15/04,Monday,11,7:17,41,60,z,6,6,3300,238
331,9,3,11/15/04,Monday,11,9:47,35,44,z,10,10,40850,238
332,10,22,11/15/04,Monday,11,10:17,39,57,z,2,8,12475,238
333,11,1,11/15/04,Monday,11,10:47,3,17,z,13,13,6050,238
334,12,7,11/15/04,Monday,11,11:17,31,62,firewood,2,3,7175,238
335,13,29,11/15/04,Monday,11,11:47,22,14,domestic,3,3,56200,238
336,13,29,11/15/04,Monday,11,11:47,20,43,steady_job,3,3,56200,238
337,17,26,11/15/04,Monday,11,13:46,42,24,z,3,4,14650,238
338,20,9,11/15/04,Monday,11,15:17,14,16,z,10,10,4975,238
339,20,9,11/15/04,Monday,11,15:17,9,14,z,10,10,4975,238
340,20,9,11/15/04,Monday,11,15:17,23,43,z,10,10,4975,238
341,21,18,11/15/04,Monday,11,15:47,44,16,z,8,9,1300,238
342,22,24,11/15/04,Monday,11,16:17,30,16,domestic,8,10,2975,238
343,22,24,11/15/04,Monday,11,16:17,18,35,fishing,8,10,2975,238
344,23,30,11/15/04,Monday,11,16:46,38,28,z,5,5,4800,238
345,24,5,11/15/04,Monday,11,17:17,1,27,z,8,8,3175,238
346,24,5,11/15/04,Monday,11,17:17,4,15,z,8,8,3175,238
347,1,3,11/16/04,Tuesday,11,5:42,35,44,z,10,10,40850,238
348,2,19,11/16/04,Tuesday,11,6:12,33,67,livestock,5,5,6300,238
349,5,24,11/16/04,Tuesday,11,7:42,18,35,z,8,10,2975,238
350,7,11,11/16/04,Tuesday,11,8:42,28,44,hunting,10,9,7350,238
351,9,5,11/16/04,Tuesday,11,9:41,4,15,z,8,8,3175,238
352,11,4,11/16/04,Tuesday,11,10:42,6,30,gold,9,11,7275,238
353,12,6,11/16/04,Tuesday,11,11:12,45,27,z,7,7,800,238
354,14,18,11/16/04,Tuesday,11,12:11,44,16,z,8,9,1300,238
