choice,Tide,Wisk,EraPlus,Surf,Solo,All
Tide,0.051570800,0.0455468800,0.06062500,0.048906250,0.04921875,0.03515625
Tide,0.064531250,0.0489062500,0.06437500,0.056718750,0.06453125,0.03890625
Tide,0.043593750,0.0498437500,0.06372426,0.057656250,0.06546875,0.03890625
Wisk,0.065468750,0.0482812500,0.06546875,0.046718750,0.06546875,0.04359375
Tide,0.064062500,0.0396997900,0.04843750,0.064062500,0.04843750,0.03720531
Tide,0.051480470,0.0396997900,0.05364583,0.064062500,0.06406250,0.03843750
Tide,0.064531250,0.0489062500,0.06437500,0.046718750,0.06453125,0.03890625
Tide,0.058854170,0.0396997900,0.05885417,0.064062500,0.05364583,0.03843750
Tide,0.064062500,0.0396997900,0.06406250,0.048437500,0.06406250,0.03468750
Tide,0.064062500,0.0396997900,0.05885417,0.051979170,0.04979167,0.04156250
Surf,0.067187500,0.0500036800,0.05593750,0.019971590,0.06716375,0.04073406
Tide,0.037961970,0.0467187500,0.06125000,0.049843750,0.06546875,0.03890625
EraPlus,0.065468750,0.0576562500,0.04359375,0.046718750,0.06546875,0.04359375
Surf,0.050116740,0.0489062500,0.05281250,0.018816960,0.05468750,0.03890625
All,0.056718750,0.0489062500,0.06453125,0.045694440,0.06453125,0.03890625
All,0.061315940,0.0478125000,0.06453125,0.048906250,0.05867188,0.03890625
All,0.064531250,0.0567187500,0.06453125,0.048906250,0.05541667,0.03890625
All,0.064531250,0.0489062500,0.06437500,0.056718750,0.06453125,0.03265625
All,0.064531250,0.0451562500,0.06119792,0.046718750,0.05015625,0.04125000
EraPlus,0.061315940,0.0582500000,0.10328130,0.052876560,0.09412500,0.07453125
EraPlus,0.052812500,0.0567187500,0.03718750,0.038906250,0.04976563,0.03890625
EraPlus,0.064531250,0.0489062500,0.05828125,0.038906250,0.06453125,0.03890625
Solo,0.056718750,0.0436752700,0.05867188,0.052876560,0.04968750,0.03890625
Solo,0.059388670,0.0614453100,0.06554688,0.065000000,0.04890625,0.04054344
Solo,0.062187500,0.0415625000,0.05935198,0.062187500,0.04656250,0.03468750
Solo,0.050937500,0.0393593800,0.05585938,0.052838540,0.04648438,0.04054344
Solo,0.058994020,0.0467968800,0.06426339,0.056171880,0.04914063,0.04054344
Solo,0.064843750,0.0490625000,0.05312500,0.049375000,0.05039063,0.04054344
Solo,0.055000000,0.0475781300,0.06281250,0.047578130,0.05773438,0.04054344
Tide,0.055807620,0.0434472700,0.06453125,0.048906250,0.05867188,0.03515625
Surf,0.064531250,0.0489062500,0.06437500,0.033281250,0.06453125,0.03890625
Surf,0.061315940,0.1162500000,0.06165469,0.052876560,0.05929969,0.03846234
EraPlus,0.059218750,0.0531250000,0.06562500,0.053125000,0.06562500,0.04073406
EraPlus,0.060234380,0.0513476600,0.06773438,0.053784050,0.06777344,0.05453125
EraPlus,0.061315940,0.0478125000,0.06453125,0.056718750,0.06453125,0.03890625
EraPlus,0.065625000,0.0515625000,0.06562500,0.050000000,0.06562500,0.04073406
EraPlus,0.065312500,0.0500000000,0.06562500,0.050000000,0.06562500,0.04073406
EraPlus,0.078046880,0.0612500000,0.07104167,0.067656250,0.08437500,0.04073406
EraPlus,0.065312500,0.0500000000,0.06562500,0.057812500,0.06562500,0.04073406
EraPlus,0.060625000,0.0444209600,0.05851563,0.048906250,0.06453125,0.03890625
EraPlus,0.058671880,0.0489062500,0.06453125,0.064531250,0.05929969,0.03890625
EraPlus,0.064531250,0.0489062500,0.06437500,0.064531250,0.06453125,0.03890625
EraPlus,0.064531250,0.0489062500,0.06437500,0.064531250,0.06453125,0.03890625
EraPlus,0.057118060,0.0396997900,0.05885417,0.064062500,0.06406250,0.03843750
EraPlus,0.057031250,0.0489062500,0.06437500,0.055625000,0.06453125,0.03890625
EraPlus,0.064531250,0.0456250000,0.05453125,0.046718750,0.05015625,0.03890625
EraPlus,0.064531250,0.0467187500,0.05453125,0.064531250,0.05234375,0.04359375
Solo,0.059062500,0.0396997900,0.04584201,0.064062500,0.04572917,0.03843750
Solo,0.064062500,0.0396997900,0.05935198,0.048437500,0.04843750,0.03843750
All,0.052318390,0.0396997900,0.06406250,0.064062500,0.06406250,0.03843750
All,0.057118060,0.0396997900,0.06059028,0.064062500,0.06406250,0.03843750
Solo,0.057118060,0.0396997900,0.06059028,0.058020830,0.03052083,0.04156250
Surf,0.064531250,0.0489062500,0.06453125,0.038906250,0.06453125,0.03890625
Tide,0.042760650,0.0396997900,0.05364583,0.056226250,0.05382750,0.03843750
Surf,0.059531250,0.0489062500,0.06109375,0.042031250,0.05296875,0.03890625
Surf,0.061458330,0.0500000000,0.06562500,0.018750000,0.06562500,0.04073406
Surf,0.059375000,0.0515625000,0.06562500,0.026562500,0.06562500,0.04073406
Surf,0.065312500,0.0500000000,0.06562500,0.026562500,0.06562500,0.04031250
Wisk,0.053033850,0.0311443000,0.05391927,0.052876560,0.05697396,0.03890625
Wisk,0.052812500,0.0547656300,0.06062500,0.051718750,0.06453125,0.03890625
Wisk,0.058671880,0.0454001500,0.06453125,0.056718750,0.06453125,0.03890625
Wisk,0.052812500,0.0478125000,0.06453125,0.048906250,0.05867188,0.03890625
Wisk,0.058671880,0.0264977400,0.06453125,0.048906250,0.05867188,0.03890625
Wisk,0.061562500,0.0400038200,0.06546875,0.065468750,0.04984375,0.03890625
Wisk,0.062343750,0.0359375000,0.06234375,0.046718750,0.05453125,0.03515625
Wisk,0.061562500,0.0463738800,0.06546875,0.048906250,0.06546875,0.03890625
Wisk,0.059501490,0.0498437500,0.05960938,0.057656250,0.06546875,0.03890625
Wisk,0.064531250,0.0425732400,0.05851563,0.056718750,0.06453125,0.03890625
Wisk,0.055312500,0.0498437500,0.06304688,0.057656250,0.06546875,0.03890625
Wisk,0.057578130,0.0396875000,0.06546875,0.057656250,0.06546875,0.03890625
Tide,0.038829790,0.0437637100,0.06500000,0.046718750,0.06546875,0.03890625
EraPlus,0.059687500,0.0385156300,0.05085938,0.053744530,0.05398438,0.04054344
EraPlus,0.066562500,0.0467187500,0.05421875,0.048203130,0.06656250,0.03281250
EraPlus,0.064531250,0.0489062500,0.04773438,0.048220110,0.05468750,0.03890625
EraPlus,0.038645830,0.0448437500,0.03878472,0.033671880,0.04958984,0.04054344
EraPlus,0.064062500,0.0430208300,0.04166667,0.064062500,0.04843750,0.03720531
Surf,0.059375000,0.0515625000,0.06562500,0.018750000,0.06562500,0.04073406
EraPlus,0.064062500,0.0396997900,0.04010417,0.048437500,0.05625000,0.03843750
EraPlus,0.064843750,0.0507031300,0.05625000,0.065000000,0.05312500,0.04054344
Tide,0.040184840,0.0482812500,0.05943359,0.057656250,0.06546875,0.03890625
EraPlus,0.055338540,0.0488281300,0.04734375,0.056640630,0.06445313,0.04054344
EraPlus,0.067673610,0.0470885000,0.06167188,0.059563130,0.06968750,0.04073406
EraPlus,0.074531250,0.0467187500,0.04993202,0.052876560,0.07488281,0.03281250
Solo,0.056718750,0.0457406300,0.05867188,0.038906250,0.05867188,0.03890625
EraPlus,0.065468750,0.0531250000,0.05312500,0.065625000,0.06562500,0.04073406
Surf,0.065468750,0.0531250000,0.06562500,0.065625000,0.06562500,0.04073406
Surf,0.074787500,0.0541875000,0.06562500,0.056258680,0.06281250,0.04073406
Surf,0.061354170,0.0531250000,0.06562500,0.059375000,0.06562500,0.04073406
Surf,0.059218750,0.0572906300,0.06562500,0.059375000,0.06562500,0.04073406
Surf,0.053125000,0.0531250000,0.06562500,0.059375000,0.06562500,0.04073406
Surf,0.053125000,0.0501736100,0.06562500,0.050416670,0.06671875,0.04073406
Surf,0.059218750,0.0515625000,0.06562500,0.050000000,0.06562500,0.04073406
Surf,0.053125000,0.0500000000,0.06562500,0.050000000,0.06562500,0.04073406
Surf,0.061354170,0.0500000000,0.06562500,0.050000000,0.06562500,0.04073406
Surf,0.048906250,0.0489062500,0.06453125,0.056718750,0.06453125,0.03890625
Surf,0.061458330,0.0500000000,0.06562500,0.050000000,0.06562500,0.04073406
Surf,0.061458330,0.0500000000,0.06562500,0.050000000,0.06562500,0.04073406
Surf,0.061458330,0.0515625000,0.06562500,0.050000000,0.06562500,0.04073406
Surf,0.064531250,0.0432948400,0.06453125,0.056718750,0.05671875,0.03890625
Surf,0.065625000,0.0500000000,0.06562500,0.050000000,0.06562500,0.04031250
Surf,0.065312500,0.0500000000,0.06562500,0.057812500,0.06562500,0.04031250
Surf,0.065312500,0.0500000000,0.06562500,0.065625000,0.06562500,0.04073406
Surf,0.065312500,0.0500000000,0.06562500,0.042187500,0.06562500,0.04073406
Surf,0.065312500,0.0578125000,0.06562500,0.057812500,0.06562500,0.04073406
Surf,0.065312500,0.0578125000,0.06562500,0.057812500,0.06716375,0.04073406
Surf,0.065312500,0.0656250000,0.06562500,0.065625000,0.06716375,0.04073406
Surf,0.065312500,0.0590625000,0.06562500,0.065625000,0.06716375,0.04073406
Surf,0.065312500,0.0590625000,0.06562500,0.065625000,0.06716375,0.04073406
Surf,0.066875000,0.0503125000,0.06656250,0.067500000,0.06716375,0.04073406
Surf,0.059531250,0.0489062500,0.06109375,0.026406250,0.05296875,0.03890625
Tide,0.049687500,0.0656250000,0.06562500,0.059062500,0.06716375,0.04073406
Surf,0.064531250,0.0451562500,0.05953125,0.046718750,0.05015625,0.04125000
Surf,0.064531250,0.0467187500,0.06453125,0.052812500,0.05015625,0.04359375
Surf,0.069062500,0.0656250000,0.06843750,0.059062500,0.06716375,0.04073406
Surf,0.065625000,0.0531250000,0.06562500,0.030056090,0.06562500,0.04073406
Tide,0.053586970,0.0467187500,0.06125000,0.049843750,0.06546875,0.03890625
Solo,0.066562500,0.0467187500,0.06046875,0.048203130,0.06656250,0.03281250
Solo,0.062968750,0.0512500000,0.06046875,0.047441410,0.06656250,0.03281250
Solo,0.067067310,0.0541964300,0.06795974,0.031665300,0.06640625,0.03148897
Solo,0.060034720,0.0339583300,0.05010417,0.065520830,0.05010417,0.03218750
EraPlus,0.064531250,0.0435156300,0.06453125,0.064531250,0.05671875,0.03890625
Wisk,0.052812500,0.0485156300,0.06062500,0.051718750,0.06453125,0.03890625
Wisk,0.052812500,0.0456797100,0.06062500,0.064531250,0.06453125,0.03890625
Wisk,0.052812500,0.0456797100,0.06062500,0.064531250,0.06453125,0.03890625
Wisk,0.064270830,0.0363541700,0.04843750,0.056226250,0.04843750,0.03720531
Tide,0.054157980,0.0396997900,0.05885417,0.064062500,0.05364583,0.03843750
Wisk,0.049843750,0.0426562500,0.06421875,0.064531250,0.06453125,0.03890625
Wisk,0.059609380,0.0342187500,0.06182292,0.065468750,0.06546875,0.04359375
Wisk,0.067187500,0.0421875000,0.06718750,0.067187500,0.06716375,0.04073406
Wisk,0.065468750,0.0381250000,0.06182292,0.046718750,0.06546875,0.04359375
Wisk,0.065468750,0.0381250000,0.06182292,0.046718750,0.06546875,0.04359375
Wisk,0.065468750,0.0406250000,0.06182292,0.065468750,0.06546875,0.04359375
Wisk,0.069687500,0.0387500000,0.06992188,0.054062500,0.05710938,0.04359375
Surf,0.064531250,0.0567187500,0.06453125,0.023281250,0.06453125,0.03890625
Wisk,0.064531250,0.0467187500,0.06437500,0.055625000,0.06453125,0.03890625
Tide,0.065451390,0.0500000000,0.06562500,0.050000000,0.06562500,0.04031250
Wisk,0.057187500,0.0392968800,0.05768029,0.052876560,0.05867188,0.03515625
Wisk,0.057656250,0.0489062500,0.06062500,0.064375000,0.06453125,0.03640625
Wisk,0.062708330,0.0396568600,0.05675781,0.035156250,0.05757813,0.03515625
Surf,0.065625000,0.0531250000,0.06562500,0.053125000,0.06562500,0.04073406
Wisk,0.062708330,0.0534570300,0.06890625,0.053921880,0.06234375,0.04073406
Wisk,0.063437500,0.0571875000,0.06343750,0.054062500,0.06343750,0.04073406
Wisk,0.065625000,0.0531250000,0.06562500,0.050000000,0.06562500,0.04073406
Wisk,0.055807620,0.0434472700,0.06453125,0.048906250,0.05867188,0.03515625
Wisk,0.054453130,0.0435988500,0.06546875,0.048906250,0.06546875,0.03890625
Wisk,0.056718750,0.0455468800,0.06062500,0.056718750,0.04921875,0.03515625
Wisk,0.064531250,0.0489062500,0.05281250,0.048906250,0.05867188,0.03515625
Wisk,0.065625000,0.0500000000,0.06562500,0.050000000,0.06716375,0.04073406
Wisk,0.065625000,0.0534375000,0.06562500,0.053437500,0.06716375,0.04073406
Wisk,0.065625000,0.0534375000,0.06562500,0.065625000,0.06716375,0.04073406
Wisk,0.065312500,0.0403125000,0.05593750,0.049687500,0.06716375,0.04073406
Wisk,0.067187500,0.0359375000,0.06718750,0.067187500,0.06716375,0.04073406
Wisk,0.060520830,0.0405468800,0.06445313,0.048828130,0.06445313,0.04054344
Surf,0.064531250,0.0489062500,0.06453125,0.048906250,0.05867188,0.03890625
EraPlus,0.066562500,0.0467187500,0.05500000,0.052876560,0.06656250,0.03281250
EraPlus,0.063622160,0.0512500000,0.05937500,0.031250000,0.05875000,0.03281250
EraPlus,0.065156250,0.0654687500,0.05578125,0.031875000,0.06515625,0.03171875
EraPlus,0.065156250,0.0654687500,0.04132813,0.065781250,0.06515625,0.03171875
Surf,0.060781250,0.0489062500,0.06062500,0.031663050,0.06453125,0.03515625
Surf,0.058671880,0.0595043100,0.06453125,0.048906250,0.06453125,0.03890625
Surf,0.064531250,0.0489062500,0.06453125,0.041015630,0.05505208,0.03515625
Surf,0.062343750,0.0496234400,0.06187500,0.031093750,0.06234375,0.03515625
Surf,0.056718750,0.0489062500,0.06453125,0.055743750,0.06453125,0.03890625
Surf,0.058671880,0.0382164900,0.06453125,0.037187500,0.05867188,0.03890625
Tide,0.052083330,0.0396997900,0.06406250,0.056226250,0.06406250,0.03843750
Surf,0.057812500,0.0444010400,0.04804688,0.057812500,0.05771672,0.04054344
Surf,0.058671880,0.0470937500,0.04753906,0.037812500,0.03640625,0.04054344
Surf,0.053255210,0.0467968800,0.06367188,0.046015630,0.05523438,0.04054344
Solo,0.079062500,0.1537500000,0.09093750,0.059563130,0.08781250,0.04073406
Solo,0.055904020,0.0636718800,0.05976563,0.063671880,0.05195313,0.04054344
Solo,0.065625000,0.0531250000,0.06562500,0.065625000,0.06562500,0.04073406
Solo,0.052812500,0.0567187500,0.05281250,0.038906250,0.04976563,0.03890625
Solo,0.059062500,0.0318520500,0.04843750,0.056226250,0.04843750,0.03843750
Solo,0.064531250,0.0489062500,0.06453125,0.064531250,0.06453125,0.03890625
Solo,0.059218750,0.0531250000,0.06562500,0.059375000,0.06562500,0.04073406
Solo,0.060234380,0.0513476600,0.06773438,0.053784050,0.06777344,0.05453125
Solo,0.064531250,0.0434627000,0.06453125,0.064531250,0.06453125,0.03846234
Solo,0.064062500,0.0396997900,0.05935198,0.056226250,0.04843750,0.03843750
Solo,0.059375000,0.0500000000,0.06562500,0.050000000,0.06562500,0.04073406
Solo,0.048906250,0.0489062500,0.06453125,0.045513390,0.06453125,0.03890625
Solo,0.048906250,0.0489062500,0.06453125,0.048906250,0.06453125,0.03890625
Solo,0.064531250,0.0467187500,0.06453125,0.064531250,0.06453125,0.03846234
Solo,0.064531250,0.0467187500,0.06453125,0.056718750,0.05085938,0.03890625
Solo,0.064531250,0.0525556300,0.06453125,0.064531250,0.05851563,0.03846234
Solo,0.064531250,0.0512630200,0.07146875,0.067500000,0.08471875,0.03846234
Solo,0.060625000,0.0444209600,0.05851563,0.048906250,0.06453125,0.03890625
Solo,0.064531250,0.0489062500,0.06437500,0.064531250,0.06453125,0.03890625
Solo,0.065312500,0.0500000000,0.06562500,0.057812500,0.06562500,0.04073406
Solo,0.058854170,0.0396997900,0.05885417,0.064062500,0.05885417,0.03843750
Solo,0.064062500,0.0396997900,0.05364583,0.064062500,0.06406250,0.03843750
Solo,0.057031250,0.0489062500,0.06437500,0.055625000,0.06453125,0.03890625
Surf,0.061281250,0.0504687500,0.06054688,0.048359380,0.06796875,0.03281250
EraPlus,0.064270830,0.0396997900,0.03531250,0.056226250,0.04572917,0.03720531
EraPlus,0.059765630,0.0502937500,0.04601563,0.053744530,0.05771672,0.04054344
EraPlus,0.062656250,0.0467187500,0.05031250,0.065781250,0.06656250,0.03281250
Solo,0.052812500,0.0478125000,0.06453125,0.038906250,0.04000000,0.03890625
Solo,0.064062500,0.0396997900,0.04843750,0.064062500,0.04166667,0.03468750
Tide,0.058203130,0.0460156300,0.05976563,0.050156250,0.05976563,0.03718750
EraPlus,0.065312500,0.0653125000,0.06622688,0.065312500,0.06716375,0.04073406
Tide,0.048046880,0.0636718800,0.05493862,0.055859380,0.05195313,0.04054344
Tide,0.051718750,0.0518750000,0.05156250,0.039843750,0.03828125,0.04054344
Tide,0.061328130,0.0518638400,0.06718750,0.041796880,0.10078130,0.04054344
Tide,0.067343750,0.0421875000,0.06796875,0.057968750,0.05929969,0.03281250
Tide,0.068020830,0.0396997900,0.05843750,0.065520830,0.05382750,0.03218750
Tide,0.062604170,0.0396997900,0.05843750,0.065520830,0.05791667,0.03218750
Tide,0.062604170,0.0396997900,0.05843750,0.056226250,0.05791667,0.03218750
Tide,0.059765630,0.0526562500,0.05390625,0.050156250,0.05976563,0.03171875
Tide,0.059765630,0.0581250000,0.05390625,0.050156250,0.05976563,0.03171875
Tide,0.070689100,0.0524218800,0.06937500,0.050056820,0.06812500,0.03759375
Tide,0.053906250,0.0581250000,0.05296875,0.066250000,0.05976563,0.03218750
Solo,0.057812500,0.0581250000,0.05328125,0.058437500,0.06562500,0.03218750
Tide,0.054791670,0.0396997900,0.06104167,0.056226250,0.06312500,0.02989583
Tide,0.053906250,0.0503125000,0.06562500,0.058437500,0.05976563,0.03218750
Tide,0.052734380,0.0503125000,0.06562500,0.058437500,0.05976563,0.03218750
Tide,0.053906250,0.0503125000,0.06562500,0.066250000,0.05976563,0.03218750
Tide,0.057812500,0.0503125000,0.06562500,0.066250000,0.05265625,0.03468750
Tide,0.066875000,0.0503125000,0.06656250,0.067500000,0.06716375,0.04073406
Solo,0.061718750,0.0503125000,0.05414063,0.044687500,0.05140625,0.03593750
Tide,0.065625000,0.0503125000,0.05414063,0.051875000,0.05140625,0.03593750
Tide,0.065625000,0.0462500000,0.05656250,0.051875000,0.05140625,0.03593750
Tide,0.060000000,0.0396997900,0.05583333,0.056226250,0.05382750,0.03250000
EraPlus,0.049040180,0.0497135400,0.04575335,0.039062500,0.04789063,0.03846234
EraPlus,0.061614580,0.0496234400,0.03113281,0.038300780,0.06097656,0.03812500
EraPlus,0.065312500,0.0496875000,0.04343750,0.065312500,0.06716375,0.04073406
EraPlus,0.058671880,0.0478125000,0.05359375,0.056718750,0.05867188,0.03890625
EraPlus,0.055677080,0.0467187500,0.06125000,0.048906250,0.06546875,0.03890625
Surf,0.064531250,0.0489062500,0.06437500,0.050390630,0.06453125,0.03890625
Surf,0.058854170,0.0396997900,0.06406250,0.045809580,0.04979167,0.03843750
Tide,0.051695770,0.0396997900,0.05885417,0.064062500,0.06406250,0.03843750
Tide,0.054375000,0.0489062500,0.06453125,0.064531250,0.06453125,0.03890625
Tide,0.040078130,0.0489062500,0.06437500,0.046718750,0.06453125,0.03890625
Tide,0.048906250,0.0489062500,0.05453125,0.046718750,0.05015625,0.03890625
Tide,0.042890630,0.0502937500,0.06367188,0.053744530,0.04945313,0.04054344
Wisk,0.062343750,0.0265625000,0.06234375,0.046718750,0.05062500,0.03515625
Tide,0.040182620,0.0434472700,0.06453125,0.048906250,0.05867188,0.03515625
Surf,0.062031250,0.0467187500,0.06234375,0.035156250,0.06234375,0.03515625
Surf,0.062187500,0.0409375000,0.04656250,0.062187500,0.04656250,0.03468750
